Status,State,Name,Hospital Provider Number,Street Address,Suburb,Postcode,Second-tier Eligible (Yes/No),Second-tier Expiry Date,"Second-tier Category",Circular,"The Commonwealth Minister for Health, or delegate, has declared the facility to be a neo-natal facility, consistent with Section 3(2) of the Health Insurance Act 1973. (This column is not complete and is still being populated)"
PUBLIC,VIC,MARYBOROUGH DISTRICT HEALTH SERVICE (DUNOLLY),0030370L,20 HAVELOCK STREET,DUNOLLY,3472,NO,,,,
PUBLIC,VIC,MARYBOROUGH DISTRICT HEALTH SERVICE (MARYBOROUGH),0030680Y,75-87 CLARENDON STREET,MARYBOROUGH,3465,NO,,,,
PUBLIC,QLD,MARYBOROUGH HOSPITAL,0050740T,185 WALKER STREET,MARYBOROUGH,4650,NO,,,,
PRIVATE,VIC,MARYVALE PRIVATE HOSPITAL,0036630F,286 MARYVALE ROAD,MORWELL,3840,YES,09-02-27,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds",PHI 27/20; 72/21; 23/23; PHI 18/24,
PRIVATE,VIC,MASADA PRIVATE HOSPITAL,0036390F,26 BALACLAVA ROAD,EAST ST KILDA,3183,YES,03-02-28,"E - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, without an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 84/20; 22/22; 11/25,
PUBLIC,QLD,MATER ADULT HOSPITAL,0050750L,RAYMOND TERRACE,SOUTH BRISBANE,4101,NO,,,,
PRIVATE,NSW,MATER HOSPITAL SYDNEY,0015790H,25 ROCKLANDS ROAD,NORTH SYDNEY,2060,YES,04-10-25,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 46/20; 54/20; 72/21; 80/21,
PUBLIC,QLD,MATER MOTHER'S HOSPITAL,0050790F,RAYMOND TERRACE,SOUTH BRISBANE,4101,NO,,,,
PRIVATE,QLD,MATER PRIVATE DAY HOSPITAL BROOKWATER,0057490F,CNR OF AUGUSTA PARKWAY & TOURNAMENT DRIVE,BROOKWATER,4300,YES,01-02-28,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 43/19; 47/19; 08/22; 11/25,
PRIVATE,QLD,MATER PRIVATE HOSPITAL (SOUTH BRISBANE),0055850L,301 VULTURE ST,SOUTH BRISBANE,4101,YES,17-02-26,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 43/19; 08/22; 26/22,
PRIVATE,QLD,MATER PRIVATE HOSPITAL BUNDABERG,0055330T,313 BOURBONG STREET,BUNDABERG,4670,YES,17-06-28,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds",PHI 27/20; 44/20; 02/22; 07/25; 42/25,
PRIVATE,QLD,MATER PRIVATE HOSPITAL MACKAY,0055340L,76 WILLETTS ROAD,NORTH MACKAY,4740,YES,17-06-28,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 27/20; 08/21; 11/24; 45/25,
PRIVATE,QLD,MATER PRIVATE HOSPITAL MACKAY (WELLINGTON STREET CAMPUS),0881091W,1 WELLINGTON STREET,MACKAY,4740,YES,17-06-28,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 27/20; 08/21; 11/24; 45/25,
PRIVATE,QLD,MATER PRIVATE HOSPITAL REDLAND,0055970F,WEIPPIN STREET,CLEVELAND,4163,YES,17-02-26,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds",PHI 43/19; 47/19; 08/22; 26/22,
PRIVATE,QLD,MATER PRIVATE HOSPITAL ROCKHAMPTON,0055350K,CNR WARD & JESSIE STREETS,ROCKHAMPTON,4700,YES,17-06-28,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 27/20; 08/21; 18/24; 45/25,
PRIVATE,QLD,MATER PRIVATE HOSPITAL SPRINGFIELD,0056160J,30 HEALTH CARE DRIVE,SPRINGFIELD CENTRAL,4300,YES,17-02-26,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds",PHI 43/19; 08/22; 26/22,
PRIVATE,QLD,MATER PRIVATE HOSPITAL TOWNSVILLE,0055360J,25 FULHAM ROAD,PIMLICO,4810,YES,14-06-28,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 43/19; 47/19; 25/20; 08/21; 11/24; 45/25,
PRIVATE,QLD,MATER PRIVATE HOSPITAL TOWNSVILLE (HYDE PARK CAMPUS),0055400W,12-14 OXFORD STREET,HYDE PARK,4812,YES,14-06-28,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds",PHI 43/19; 25/20; 08/21; 11/24; 45/25,
PRIVATE,QLD,MATER WOMEN'S & CHILDREN'S PRIVATE HEALTH SERVICES,0055110F,RAYMOND TERRACE,SOUTH BRISBANE,4101,YES,17-02-26,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 43/19; 08/22; 26/22,
PRIVATE,NSW,MATILDA NEPEAN PRIVATE HOSPITAL,0017680X,39 ORTH STREET,KINGSWOOD,2747,YES,20-08-27,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)",PHI 82/22; 02/23; 60/24,
PUBLIC,TAS,MAY SHAW HEALTH CENTRE,0085190H,37 WELLINGTON STREET,SWANSEA,7190,NO,,,,
PRIVATE,NSW,MAYO PRIVATE HOSPITAL,0015810X,LOT 1 POTOROO DRIVE,TAREE,2430,YES,22-10-27,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds",PHI 32/19; 68/20; 35/21; 75/24,
PRIVATE,WA,MCCOURT STREET DAY SURGERY,0077000H,28 MCCOURT STREET,WEST LEEDERVILLE,6007,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,,
PUBLIC,WA,MEEKATHARRA HOSPITAL,0070500Y,SAVAGE STREET,MEEKATHARRA,6642,NO,,,,
PRIVATE,VIC,MELBOURNE IVF PROCEDURE CENTRE,0044010K,36 WELLINGTON STREET,COLLINGWOOD,3066,YES,02-05-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 43/19; 07/22; 14/23; 37/25,
PRIVATE,VIC,MELBOURNE PRIVATE HOSPITAL,0036700H,ROYAL PARADE,PARKVILLE,3052,YES,25-09-27,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 62/20; 57/23; 60/24,
PRIVATE,SA,MEMORIAL HOSPITAL,0065240A,SIR EDWIN SMITH AVENUE,NORTH ADELAIDE,5006,YES,16-11-26,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 32/20; 14/23; 57/23; 02/24; 11/24,
PUBLIC,SA,MENINGIE AND DISTRICTS MEMORIAL HOSPITAL,0060660Y,2 SOUTH TERRACE,MENINGIE,5264,NO,,,PHI 70/25,
PUBLIC,NSW,MERCY CARE HOSPITAL - YOUNG,0011710K,69 DEMONDRILLE STREET,YOUNG,2594,NO,,,,
PUBLIC,VIC,MERCY HEALTH - O'CONNELL FAMILY CENTRE CAMPUS,0031550A,6 MONT ALBERT ROAD,CANTERBURY,3126,NO,,,,
PUBLIC,NSW,MERCY HEALTH SERVICE,0011690Y,550 POOLE STREET,ALBURY,2640,NO,,,,
PUBLIC,VIC,MERCY HOSPITAL FOR WOMEN,0031610F,163 STUDLEY ROAD,HEIDELBERG,3084,NO,,,,
PUBLIC,WA,MERREDIN HOSPITAL,0070510X,KITCHENER ROAD,MERREDIN,6415,NO,,,,
PUBLIC,NSW,MERRIWA MULTI PURPOSE SERVICE,0011720J,60 MACKENZIE STREET,MERRIWA,2329,NO,,,,
PUBLIC,TAS,MERSEY COMMUNITY HOSPITAL,0085170K,BASS HIGHWAY,LATROBE,7307,NO,,,,
PRIVATE,NSW,METWEST SURGICAL,0656411A,17 HEREWARD HIGHWAY,BLACKTOWN,2148,YES,26-07-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 30/22; 56/24,
PRIVATE,QLD,MIAMI PRIVATE HOSPITAL,0057440T,24 HILLCREST PARADE,MIAMI,4220,YES,18-07-27,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds",PHI 09/15; 46/18; 75/19; 04/20; 84/20; 53/23; 41/24,
PUBLIC,TAS,MIDLANDS MULTI PURPOSE HEALTH CENTRE,0085180J,13 CHURCH STREET,OATLANDS,7120,NO,,,,
PUBLIC,VIC,MILDURA BASE PUBLIC HOSPITAL,0036820Y,220-228 THIRTEENTH STREET,MILDURA,3500,NO,,,PHI 66/20,
PRIVATE,VIC,MILDURA HEALTH PRIVATE HOSPITAL,0036600K,220-228 THIRTEENTH STREET,MILDURA,3500,YES,17-12-26,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds",PHI 59/19; 19/20; 70/20; 77/22; 79/23,
PUBLIC,QLD,MILES HOSPITAL,0050870F,5-11 COLAMBA STREET,MILES,4415,NO,,,PHI 63/19,
PUBLIC,SA,MILLICENT AND DISTRICT HOSPITAL AND HEALTH SERVICES,0060340T,15 MOUNT GAMBIER ROAD,MILLICENT,5280,NO,,,PHI 70/25,
PUBLIC,QLD,MILLMERRAN HOSPITAL,0050880B,50 COMMENS STREET,MILLMERRAN,4357,NO,,,,
PUBLIC,NSW,MILTON ULLADULLA HOSPITAL,0011740F,104-106 PRINCES HIGHWAY,MILTON,2538,NO,,,,
PRIVATE,NSW,MINCHINBURY COMMUNITY PRIVATE HOSPITAL,0017000T,120 RUPERTSWOOD ROAD,MOUNT DRUITT,2040,YES,25-01-26,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)",PHI 43/19; 07/22; 11/22; 11/25; 58/25,
PRIVATE,NSW,MIRANDA DAY SURGERY,0027290W,25/20-24 GIBBS ST,MIRANDA,2228,YES,19-02-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 10/20; 77/22; 78/23,
PRIVATE,NSW,MIRANDA EYE SURGICAL CENTRE,0990491F,"SUITE 4, 16-22 WILLOCK AVENUE",MIRANDA,2228,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,,
PRIVATE,VIC,MITCHAM PRIVATE HOSPITAL,0036090W,27 AND 36 DONCASTER EAST ROAD,MITCHAM,3132,YES,09-06-26,"E - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, without an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 38/20; 35/22; 53/23,
PUBLIC,QLD,MITCHELL HOSPITAL,0050890A,95 ANN STREET,MITCHELL,4465,NO,,,PHI 69/19,
PUBLIC,SA,MODBURY HOSPITAL,0060690T,41-69 SMART ROAD,MODBURY,5092,NO,,,,
PUBLIC,NSW,MOLONG HEALTH SERVICE,0011750B,KING STREET,MOLONG,2866,NO,,,,
PUBLIC,NSW,MONA VALE HOSPITAL,0012470B,81 CORONATION STREET,MONA VALE,2103,NO,,,,
PUBLIC,VIC,MONASH HEALTH COMMUNITY,0032150J,122 THOMAS STREET,DANDENONG,3175,NO,,,,
PUBLIC,VIC,MONASH HEALTH WOMEN'S SANDRINGHAM,0032210L,193 BLUFF ROAD,SANDRINGHAM,3191,NO,,,PHI 21/23,
PRIVATE,VIC,MONASH HEART PRIVATE OPERATED BY JESSIE MCPHERSON PRIVATE HOSPITAL,0037100A,631 BLACKBURN ROAD,CLAYTON,3168,YES,22-01-28,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds",PHI 15/23; 32/23; 07/25,
PRIVATE,VIC,MONASH HOUSE PRIVATE HOSPITAL,0036960J,"LEVEL 1, 271 CLAYTON ROAD",CLAYTON,3168,YES,25-08-26,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds",PHI 27/20; 41/22; 53/23,
PRIVATE,NSW,MONASH IVF SYDNEY CBD,0027600X,"LEVEL 10, 207 KENT STREET",SYDNEY,2000,YES,23-07-28,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 77/20; 90/20; 44/22; 65/25; 72/25,
PUBLIC,VIC,MONASH MEDICAL CENTRE - CLAYTON CAMPUS,0030970K,246 CLAYTON ROAD,CLAYTON,3168,NO,,,,
PUBLIC,VIC,MONASH MEDICAL CENTRE - MOORABBIN CAMPUS,0030970K,823-865 CENTRE ROAD,BENTLEIGH EAST,3165,NO,,,PHI 14/21; 39/21,
PRIVATE,VIC,MONASH SURGICAL PRIVATE HOSPITAL,0036670X,252-256 CLAYTON ROAD,CLAYTON,3168,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,,
PUBLIC,QLD,MONTO HOSPITAL,0050900T,35 FLINDERS STREET,MONTO,4630,NO,,,,
PUBLIC,WA,MOORA HOSPITAL,0070540L,DANDARAGAN ROAD,MOORA,6510,NO,,,,
PUBLIC,QLD,MORANBAH HOSPITAL,0051580H,CNR ELLIOTT STREET AND MILLS AVENUE,MORANBAH,4744,NO,,,PHI 63/19,
PUBLIC,WA,MORAWA HOSPITAL,0070560J,CAULFIELD ROAD,MORAWA,6623,NO,,,,
PUBLIC,NSW,MOREE DISTRICT HOSPITAL,0011760A,35 ALICE STREET,MOREE,2400,NO,,,,
PRIVATE,QLD,MORETON DAY HOSPITAL,0057000W,"SPECIALIST MEDICAL CENTRE, LEVEL 2, SUITE 201, 6 NORTH LAKES DRIVE",NORTH LAKES,4509,YES,28-08-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 10/20; 63/23,
PUBLIC,NSW,MORISSET PSYCHIATRIC HOSPITAL,0012960H,OFF DORA STREET,MORISSET,2264,NO,,,PHI 31/25,
PRIVATE,VIC,MORNINGTON ENDOSCOPY PTY LTD,0044060A,350 MAIN STREET,MORNINGTON,3931,YES,29-07-28,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 39/21; 41/24; 45/25; 50/25,
PUBLIC,QLD,MORNINGTON ISLAND HOSPITAL,0051620T,306 LARDYL STREET,MORNINGTON ISLAND,4871,NO,,,,
PUBLIC,NSW,MORUYA DISTRICT HOSPITAL,0011780X,2-10 RIVER STREET,MORUYA,2537,NO,,,,
PUBLIC,QLD,MOSSMAN HOSPITAL (DOUGLAS SHIRE MULTI PURPOSE HEALTH SERVICE),0050910L,9 HOSPITAL STREET,MOSSMAN,4873,NO,,,,
PUBLIC,SA,MOUNT BARKER DISTRICT SOLDIERS MEMORIAL HOSPITAL,0060360K,87 WELLINGTON ROAD,MOUNT BARKER,5251,NO,,,PHI 76/21,
PUBLIC,NSW,MOUNT DRUITT HOSPITAL,0012780K,63 RAILWAY STREET,MOUNT DRUITT,2770,NO,,,,
PUBLIC,SA,MOUNT GAMBIER AND DISTRICTS HEALTH SERVICE,0060370J,276-300 WEHL STREET NORTH,MOUNT GAMBIER,5290,NO,,,,
PRIVATE,WA,MOUNT HAWTHORN DAY HOSPITAL,0077110A,"SUITE 4, 1st FLOOR 416-418 OXFORD STREET",MOUNT HAWTHORN,6016,NO,13-09-25,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 43/21; 34/24; 58/25; 74/25,
PRIVATE,WA,MOUNT HOSPITAL,0075420B,150 MOUNTS BAY ROAD,PERTH,6000,YES,22-01-28,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 36/20; 87/21; 07/25,
PUBLIC,QLD,MOUNT ISA HOSPITAL,0050930J,30 CAMOOWEAL STREET,MOUNT ISA,4825,NO,,,PHI 63/19,
PUBLIC,QLD,MOUNT MORGAN HOSPITAL,0050950F,BLACK STREET,MOUNT MORGAN,4714,NO,,,,
PUBLIC,SA,MOUNT PLEASANT HOSPITAL,0060380H,28 HOSPITAL ROAD,MOUNT PLEASANT,5235,NO,,,,
PUBLIC,QLD,MOURA HOSPITAL,0051560K,14 NOTT STREET,MOURA,4718,NO,,,,
PUBLIC,VIC,MOYNE HEALTH SERVICES,0030900B,30-36 VILLIERS STREET,PORT FAIRY,3284,NO,,,,
PRIVATE,QLD,MSI BRISBANE,0057170Y,8 CAMPBELL STREET,BOWEN HILLS,4006,YES,06-01-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 26/19; 51/20; 49/21; 63/22; 06/24,
PRIVATE,ACT,MSI CANBERRA,0097020T,"LEVEL 1 ACT HEALTH BUILDING, MOORE & ALINGA STREETS",CANBERRA CITY,2601,YES,06-01-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 50/20; 49/21; 01/24; 05/24; 06/24,
PRIVATE,VIC,MSI MELBOURNE,0043490J,26B DICKENS STREET,ELWOOD,3184,YES,04-05-28,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 32/19; 01/21; 14/21; 77/22; 57/23; 63/23; 01/24; 06/24; 30/25,
PRIVATE,WA,MSI PERTH,0077050X,8 SAYER STREET,MIDLAND,6056,YES,06-01-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 51/20; 60/20; 16/22; 01/24; 06/24,
PRIVATE,NSW,MSI SYDNEY WEST,0657961H,27 RAILWAY PARADE,WESTMEAD,2145,YES,06-01-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 30/19; 66/20; 70/20; 16/22; 02/23; 06/24,
PRIVATE,NSW,MT WILGA PRIVATE HOSPITAL,0015020F,66 ROSAMOND STREET,HORNSBY,2077,YES,09-11-27,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)",PHI 63/20; 22/22; 86/24,
PUBLIC,NSW,MUDGEE HEALTH SERVICE,0011790W,MEARES STREET,MUDGEE,2850,NO,,,,
PRIVATE,ACT,MUGGA WARA ENDOSCOPY CENTRE,0657101H,1/70 KENT STREET,DEAKIN,2600,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 69/24,
PRIVATE,VIC,MULGRAVE PRIVATE HOSPITAL,0036580Y,BLANTON DRIVE,MULGRAVE,3170,YES,27-11-25,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 77/18; 32/19; 26/22; 06/23,
PUBLIC,WA,MULLEWA HOSPITAL,0070570H,ELDER STREET,MULLEWA,6630,NO,,,,
PUBLIC,QLD,MUNDUBBERA MULTIPURPOSE HEALTH SERVICE ,0050980Y,96 LEICHHARDT STREET,MUNDUBBERA,4626,NO,,,PHI 63/19,
PUBLIC,QLD,MUNGINDI HOSPITAL,0050990X,80 -84 BARWON STREET,MUNGINDI,2406,NO,,,,
PRIVATE,WA,MURDOCH SURGICENTRE,0077020B,100 MURDOCH DRIVE,MURDOCH,6150,YES,12-01-29,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 33/20; 18/23; 72/25,
PUBLIC,QLD,MURGON HOSPITAL,0051000Y,CORONATION DRIVE,MURGON,4605,NO,,,,
PUBLIC,SA,MURRAY BRIDGE SOLDIERS' MEMORIAL HOSPITAL,0060390F,96 SWANPORT ROAD,MURRAY BRIDGE,5253,NO,,,PHI 70/25,
PUBLIC,WA,MURRAY DISTRICT HOSPITAL,0070670B,MCKAY STREET,PINJARRA,6208,NO,,,,
PUBLIC,NSW,MURRUMBAH-HARDEN HOSPITAL,0011810H,54 SWIFT STREET,HARDEN,2587,NO,,,,
PUBLIC,NSW,MURWILLUMBAH DISTRICT HOSPITAL,0012210A,8 EWING STREET,MURWILLUMBAH,2484,NO,,,,
PUBLIC,NSW,MUSWELLBROOK HOSPITAL,0010800W,36 BRENTWOOD STREET,MUSWELLBROOK,2333,NO,,,,
PRIVATE,QLD,NAMBOUR DAY SURGERY,0057250Y,115 HOWARD STREET,NAMBOUR,4560,YES,28-09-25,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 27/20; 72/21; 80/21; 69/24,
PUBLIC,QLD,NAMBOUR GENERAL HOSPITAL,0051020W,HOSPITAL ROAD,NAMBOUR,4560,NO,,,,
PRIVATE,QLD,NAMBOUR SELANGOR PRIVATE HOSPITAL,0055470B,62 NETHERTON STREET,NAMBOUR,4560,YES,25-05-28,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds",PHI 20/21; 30/22; 45/25,
PUBLIC,QLD,NANANGO HOSPITAL,0051030T,135 BRISBANE STREET,NANANGO,4615,NO,,,,
PUBLIC,WA,NANNUP HOSPITAL,0070630K,CAREY STREET,NANNUP,6275,NO,,,,
PUBLIC,SA,NARACOORTE HEALTH SERVICE,0060400X,101 JENKINS TERRACE,NARACOORTE,5271,NO,,,,
PUBLIC,WA,NAREMBEEN HOSPITAL,0070590B,ADA STREET,NAREMBEEN,6369,NO,,,,
PUBLIC,NSW,NARRABRI DISTRICT HOSPITAL,0011830B,11 CAMERON STREET,NARRABRI,2390,NO,,,,
PUBLIC,NSW,NARRANDERA HOSPITAL,0011840A,54 ADAMS STREET,NARRANDERA,2700,NO,,,PHI 69/19,
PUBLIC,WA,NARROGIN HOSPITAL,0070600W,WILLIAMS ROAD,NARROGIN,6312,NO,,,,
PUBLIC,NSW,NARROMINE HOSPITAL & COMMUNITY HEALTH,0011850Y,128 CATHUNDRAL STREET,NARROMINE,2821,NO,,,,
PUBLIC,VIC,NATHALIA DISTRICT HOSPITAL,0030800H,36-44 MCDONNELL STREET,NATHALIA,3638,NO,,,,
PRIVATE,ACT,NATIONAL CAPITAL PRIVATE HOSPITAL,0095100J,GILMORE CRESCENT & HOSPITAL ROAD,GARRAN,2605,NO,12-04-25,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 14/21; 26/22; 33/25,
PRIVATE,VIC,NEERIM HEALTH,0035660H,29-39 MAIN NEERIM ROAD,NEERIM SOUTH,3831,NO,,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds",PHI 31/24,
PUBLIC,NSW,NEPEAN HOSPITAL,0011860X,DERBY STREET,KINGSWOOD,2747,NO,,,PHI 53/19,
PRIVATE,NSW,NEPEAN PRIVATE HOSPITAL,0016580J,BARBER AVENUE,KINGSWOOD,2747,YES,01-05-28,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 08/21; 50/22; 34/23; 23/25,
PRIVATE,WA,NEPHROCARE MIDLAND DIALYSIS CLINIC,0077260J,11 THE AVENUE,MIDLAND,6056,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,,
PRIVATE,NSW,NEPHROCARE NEWCASTLE DIALYSIS CLINIC,0017380J,"SUITE 402, LEVEL 4, 670 HUNTER STREET",NEWCASTLE,2300,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,,
PUBLIC,NSW,NERINGAH HOSPITAL,0010130W,4-12 NERINGAH AVENUE SOUTH,WAHROONGA,2076,NO,,,,
PUBLIC,TAS,NEW NORFOLK DISTRICT HOSPITAL,0080160J,3 RICHMOND STREET,NEW NORFOLK,7140,NO,,,,
PRIVATE,NSW,NEWCASTLE ENDOSCOPY CENTRE,0027360X,"SUITE 15, 20-22 SMITH STREET",CHARLESTOWN,2290,YES,06-04-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 43/19; 05/20; 76/21; 23/23; 23/24,
PRIVATE,NSW,NEWCASTLE EYE HOSPITAL,0874031Y,182 CHRISTO ROAD,WARATAH,2298,YES,27-01-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 26/19; 02/22; 06/23,
PRIVATE,NSW,NEWCASTLE PRIVATE HOSPITAL,0017050F,14 LOOKOUT ROAD,NEW LAMBTON HEIGHTS,2305,YES,15-12-27,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 82/20; 16/22; 82/24,
PUBLIC,WA,NEWMAN HOSPITAL,0071180L,54 MINDARRA DRIVE,NEWMAN,6753,NO,,,,
PRIVATE,WA,NGALA FAMILY SERVICES,0075140K,9 GEORGE STREET,KENSINGTON,6151,YES,21-12-27,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds",PHI 12/19; 29/19; 82/20; 16/22; 82/24,
PUBLIC,NSW,NIMBIN MULTI PURPOSE SERVICE,0011890L,35 CULLEN STREET,NIMBIN,2480,NO,,,,
PUBLIC,SA,NOARLUNGA HOSPITAL,0060850T,ALEXANDER KELLY DRIVE,NOARLUNGA CENTRE,5168,NO,,,PHI 72/25,
PRIVATE,VIC,NOBLE PARK ENDOSCOPY CENTRE,0893841H,1304 HEATHERTON ROAD,NOBLE PARK,3174,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,,
PRIVATE,QLD,NOOSA HOSPITAL,0055930L,111 GOODCHAP STREET,NOOSAVILLE,4566,YES,26-01-28,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds",PHI 76/20; 30/22; 86/24,
PRIVATE,QLD,NOOSA SURGICAL & ENDOSCOPY CENTRE,0057100L,22 MARY STREET,NOOSAVILLE,4566,YES,30-04-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 32/19; 14/21; 30/22; 15/24; 23/24,
PUBLIC,QLD,NORMANTON HOSPITAL,0051040L,LOT 199 BROWN STREET,NORMANTON,4890,NO,,,,
PUBLIC,WA,NORSEMAN HOSPITAL,0070610T,TALBOT STREET,NORSEMAN,6443,NO,,,,
PRIVATE,SA,NORTH ADELAIDE DAY SURGERY CENTRE,0873741Y,174 WARD STREET,NORTH ADELAIDE,5006,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,,
PUBLIC,ACT,NORTH CANBERRA HOSPITAL,0090040A,HAYDON DRIVE,BRUCE,2617,NO,,,PHI 57/23,
PRIVATE,SA,NORTH EASTERN COMMUNITY HOSPITAL,0065770X,580 LOWER NORTH EAST ROAD,CAMPBELLTOWN,5074,NO,08-08-21,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds",PHI 06/20; 49/21,
PRIVATE,VIC,NORTH EASTERN REHABILITATION CENTRE,0035050K,134-144 FORD STREET,IVANHOE,3079,YES,22-12-27,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)",PHI 82/20; 16/22; 86/24,
